   Feature  Importance
Feature_46    0.095832
Feature_90    0.065345
Feature_20    0.050095
Feature_54    0.050080
Feature_10    0.041366
Feature_71    0.039192
Feature_84    0.037018
Feature_36    0.032670
Feature_48    0.030492
Feature_35    0.028308
Feature_88    0.026144
Feature_63    0.023960
Feature_72    0.023956
Feature_82    0.023951
Feature_77    0.021782
Feature_33    0.021777
Feature_64    0.019608
Feature_50    0.019603
Feature_13    0.019598
Feature_32    0.019598
Feature_53    0.019598
Feature_19    0.019598
Feature_74    0.017415
Feature_24    0.015246
Feature_15    0.015241
Feature_89    0.015236
Feature_37    0.013072
Feature_93    0.013072
Feature_14    0.013067
Feature_41    0.013067
Feature_43    0.013062
Feature_76    0.010893
Feature_70    0.010893
Feature_12    0.010889
Feature_34    0.008715
Feature_55    0.008710
Feature_47    0.008710
Feature_69    0.008710
Feature_57    0.008710
Feature_62    0.008710
Feature_85    0.006536
Feature_11    0.006536
Feature_60    0.006531
Feature_67    0.004357
Feature_45    0.004357
Feature_66    0.004357
Feature_30    0.004357
Feature_58    0.004357
Feature_79    0.004353
Feature_16    0.004353
Feature_73    0.004353
 Feature_3    0.002179
Feature_18    0.002179
 Feature_8    0.002179
Feature_68    0.002179
Feature_91    0.002179
Feature_75    0.002179
Feature_61    0.002179
 Feature_9    0.002174
Feature_87    0.000000
Feature_96    0.000000
Feature_92    0.000000
Feature_98    0.000000
Feature_86    0.000000
Feature_95    0.000000
Feature_97    0.000000
Feature_83    0.000000
Feature_81    0.000000
Feature_78    0.000000
Feature_80    0.000000
Feature_94    0.000000
 Feature_1    0.000000
Feature_65    0.000000
Feature_28    0.000000
 Feature_4    0.000000
 Feature_5    0.000000
 Feature_6    0.000000
 Feature_7    0.000000
Feature_17    0.000000
Feature_21    0.000000
Feature_22    0.000000
Feature_23    0.000000
Feature_25    0.000000
Feature_26    0.000000
Feature_27    0.000000
Feature_29    0.000000
Feature_59    0.000000
Feature_31    0.000000
Feature_38    0.000000
Feature_39    0.000000
Feature_40    0.000000
Feature_42    0.000000
Feature_44    0.000000
Feature_49    0.000000
 Feature_2    0.000000
Feature_51    0.000000
Feature_52    0.000000
Feature_56    0.000000
Feature_99    0.000000
