   Feature  Importance
Feature_46    0.108885
Feature_54    0.076210
Feature_90    0.067495
Feature_10    0.052269
Feature_20    0.043568
Feature_82    0.032665
Feature_36    0.026125
Feature_84    0.023956
Feature_71    0.021787
Feature_88    0.017425
Feature_58    0.017420
Feature_48    0.017420
Feature_74    0.015251
Feature_43    0.013072
Feature_15    0.013067
Feature_37    0.013062
Feature_12    0.010893
Feature_76    0.010893
Feature_50    0.010889
Feature_16    0.010889
Feature_62    0.010889
Feature_13    0.008715
Feature_32    0.008715
Feature_14    0.008715
Feature_35    0.008710
Feature_63    0.008710
Feature_73    0.008710
Feature_64    0.008710
Feature_39    0.006536
Feature_93    0.006536
Feature_41    0.006536
Feature_19    0.006536
Feature_72    0.006531
Feature_69    0.006531
Feature_30    0.004357
Feature_70    0.004357
Feature_33    0.004357
Feature_92    0.004357
Feature_47    0.004357
Feature_11    0.004357
Feature_34    0.004357
Feature_24    0.004357
Feature_57    0.004357
Feature_60    0.004353
Feature_23    0.004353
 Feature_2    0.004353
Feature_55    0.004353
Feature_22    0.002179
Feature_77    0.002179
Feature_53    0.002179
Feature_95    0.002179
 Feature_8    0.002179
Feature_66    0.002179
 Feature_6    0.002179
Feature_89    0.002179
Feature_85    0.002179
 Feature_4    0.002179
Feature_61    0.002179
Feature_75    0.000000
Feature_94    0.000000
Feature_86    0.000000
Feature_98    0.000000
Feature_79    0.000000
Feature_80    0.000000
Feature_91    0.000000
Feature_81    0.000000
Feature_97    0.000000
Feature_96    0.000000
Feature_83    0.000000
Feature_87    0.000000
Feature_78    0.000000
 Feature_1    0.000000
Feature_68    0.000000
Feature_29    0.000000
 Feature_3    0.000000
 Feature_5    0.000000
 Feature_7    0.000000
 Feature_9    0.000000
Feature_17    0.000000
Feature_18    0.000000
Feature_21    0.000000
Feature_25    0.000000
Feature_26    0.000000
Feature_27    0.000000
Feature_28    0.000000
Feature_31    0.000000
Feature_67    0.000000
Feature_38    0.000000
Feature_40    0.000000
Feature_42    0.000000
Feature_44    0.000000
Feature_45    0.000000
Feature_49    0.000000
Feature_51    0.000000
Feature_52    0.000000
Feature_56    0.000000
Feature_59    0.000000
Feature_65    0.000000
Feature_99    0.000000
