   Feature  Importance
Feature_84    0.200445
Feature_54    0.162583
Feature_33    0.142539
Feature_10    0.111359
Feature_46    0.091314
Feature_32    0.051225
Feature_90    0.051225
Feature_82    0.040089
Feature_71    0.037862
Feature_20    0.033408
Feature_37    0.033408
Feature_50    0.033408
Feature_47    0.028953
Feature_88    0.026726
Feature_89    0.026726
Feature_73    0.024499
Feature_36    0.024499
Feature_70    0.022272
Feature_93    0.020045
Feature_24    0.020045
Feature_69    0.020045
Feature_19    0.020045
Feature_76    0.020045
Feature_63    0.017817
Feature_14    0.017817
Feature_13    0.017817
Feature_43    0.015590
Feature_41    0.013363
Feature_62    0.013363
Feature_92    0.013363
Feature_74    0.013363
Feature_77    0.013363
Feature_64    0.013363
Feature_60    0.011136
Feature_35    0.011136
Feature_72    0.011136
Feature_55    0.011136
Feature_16    0.011136
Feature_66    0.008909
 Feature_3    0.008909
Feature_85    0.008909
Feature_11    0.008909
Feature_48    0.008909
Feature_58    0.008909
Feature_67    0.006682
Feature_12    0.006682
 Feature_2    0.006682
Feature_39    0.006682
Feature_61    0.006682
 Feature_8    0.006682
Feature_57    0.006682
Feature_83    0.004454
 Feature_1    0.004454
Feature_53    0.004454
Feature_45    0.004454
Feature_23    0.004454
Feature_95    0.004454
Feature_79    0.004454
Feature_34    0.002227
 Feature_4    0.002227
 Feature_7    0.002227
 Feature_9    0.002227
Feature_15    0.002227
Feature_18    0.002227
Feature_30    0.002227
Feature_99    0.002227
Feature_38    0.002227
 Feature_5    0.002227
Feature_91    0.002227
Feature_86    0.000000
Feature_87    0.000000
Feature_59    0.000000
Feature_49    0.000000
 Feature_6    0.000000
Feature_31    0.000000
Feature_17    0.000000
Feature_51    0.000000
Feature_94    0.000000
Feature_56    0.000000
Feature_96    0.000000
Feature_97    0.000000
Feature_98    0.000000
Feature_44    0.000000
Feature_42    0.000000
Feature_68    0.000000
Feature_21    0.000000
Feature_81    0.000000
Feature_80    0.000000
Feature_40    0.000000
Feature_78    0.000000
Feature_52    0.000000
Feature_75    0.000000
Feature_25    0.000000
Feature_26    0.000000
Feature_27    0.000000
Feature_28    0.000000
Feature_29    0.000000
Feature_65    0.000000
Feature_22    0.000000
