   Feature  Importance
Feature_84    0.193309
Feature_54    0.130111
Feature_82    0.063197
Feature_33    0.059479
Feature_46    0.055762
Feature_90    0.048327
Feature_47    0.044610
Feature_73    0.040892
Feature_35    0.040892
Feature_19    0.040892
Feature_53    0.037175
Feature_20    0.037175
Feature_74    0.037175
Feature_71    0.033457
Feature_50    0.033457
Feature_55    0.033457
Feature_63    0.033457
Feature_93    0.029740
Feature_76    0.029740
Feature_10    0.029740
Feature_58    0.029740
Feature_89    0.029740
Feature_69    0.029740
Feature_43    0.026022
Feature_24    0.026022
Feature_41    0.026022
Feature_57    0.026022
Feature_15    0.026022
Feature_13    0.026022
Feature_16    0.022305
Feature_14    0.022305
Feature_30    0.018587
Feature_64    0.018587
Feature_92    0.018587
Feature_85    0.018587
Feature_32    0.018587
Feature_34    0.014870
 Feature_3    0.014870
Feature_62    0.014870
Feature_72    0.014870
Feature_48    0.014870
Feature_36    0.014870
Feature_11    0.014870
Feature_37    0.014870
Feature_60    0.011152
Feature_66    0.011152
Feature_70    0.011152
Feature_61    0.011152
Feature_77    0.011152
Feature_83    0.007435
 Feature_4    0.007435
Feature_45    0.007435
Feature_95    0.007435
Feature_88    0.007435
Feature_91    0.007435
 Feature_1    0.003717
Feature_12    0.003717
Feature_22    0.003717
 Feature_2    0.003717
Feature_18    0.003717
Feature_75    0.003717
Feature_65    0.003717
Feature_56    0.000000
Feature_23    0.000000
Feature_21    0.000000
Feature_86    0.000000
Feature_87    0.000000
Feature_17    0.000000
 Feature_8    0.000000
 Feature_9    0.000000
Feature_80    0.000000
 Feature_7    0.000000
 Feature_6    0.000000
Feature_94    0.000000
 Feature_5    0.000000
Feature_96    0.000000
Feature_97    0.000000
Feature_98    0.000000
Feature_81    0.000000
Feature_78    0.000000
Feature_79    0.000000
Feature_68    0.000000
Feature_59    0.000000
Feature_51    0.000000
Feature_49    0.000000
Feature_44    0.000000
Feature_42    0.000000
Feature_40    0.000000
Feature_67    0.000000
Feature_39    0.000000
Feature_52    0.000000
Feature_38    0.000000
Feature_31    0.000000
Feature_29    0.000000
Feature_28    0.000000
Feature_27    0.000000
Feature_26    0.000000
Feature_25    0.000000
Feature_99    0.000000
