   Feature  Importance
Feature_84    0.156134
Feature_54    0.152416
Feature_46    0.111524
Feature_47    0.100372
Feature_71    0.085502
Feature_35    0.078067
Feature_82    0.078067
Feature_33    0.074349
Feature_10    0.070632
Feature_36    0.055762
Feature_37    0.055762
Feature_50    0.052044
Feature_90    0.048327
Feature_53    0.048327
Feature_32    0.048327
Feature_43    0.044610
Feature_20    0.037175
Feature_13    0.037175
Feature_15    0.037175
Feature_73    0.033457
Feature_24    0.033457
Feature_89    0.033457
Feature_77    0.029740
Feature_72    0.029740
Feature_58    0.029740
Feature_74    0.029740
Feature_57    0.026022
Feature_12    0.026022
Feature_19    0.026022
Feature_76    0.022305
Feature_30    0.022305
Feature_61    0.022305
Feature_55    0.022305
Feature_34    0.022305
Feature_60    0.022305
Feature_64    0.022305
Feature_62    0.018587
Feature_69    0.018587
Feature_85    0.018587
Feature_92    0.014870
Feature_63    0.014870
Feature_11    0.014870
Feature_48    0.014870
Feature_16    0.014870
Feature_66    0.014870
Feature_93    0.014870
Feature_45    0.014870
Feature_83    0.011152
Feature_18    0.011152
Feature_41    0.011152
Feature_39    0.011152
 Feature_3    0.011152
Feature_88    0.011152
Feature_67    0.011152
Feature_23    0.007435
Feature_22    0.007435
Feature_79    0.007435
Feature_70    0.007435
Feature_14    0.007435
 Feature_7    0.003717
Feature_75    0.003717
Feature_86    0.003717
 Feature_6    0.003717
Feature_91    0.003717
Feature_94    0.003717
Feature_17    0.003717
Feature_97    0.000000
Feature_98    0.000000
Feature_81    0.000000
Feature_78    0.000000
Feature_96    0.000000
Feature_95    0.000000
Feature_80    0.000000
Feature_87    0.000000
 Feature_1    0.000000
Feature_68    0.000000
Feature_65    0.000000
 Feature_4    0.000000
 Feature_5    0.000000
 Feature_8    0.000000
 Feature_9    0.000000
Feature_21    0.000000
Feature_25    0.000000
Feature_26    0.000000
Feature_27    0.000000
Feature_28    0.000000
Feature_29    0.000000
Feature_31    0.000000
Feature_38    0.000000
Feature_40    0.000000
Feature_42    0.000000
Feature_44    0.000000
Feature_49    0.000000
 Feature_2    0.000000
Feature_51    0.000000
Feature_52    0.000000
Feature_56    0.000000
Feature_59    0.000000
Feature_99    0.000000
