   Feature  Importance
Feature_10    0.383168
Feature_90    0.274202
Feature_84    0.063115
Feature_89    0.054433
Feature_82    0.050024
Feature_91    0.041361
Feature_77    0.034797
Feature_93    0.030477
Feature_73    0.028289
Feature_63    0.026101
 Feature_1    0.023932
Feature_71    0.019608
Feature_33    0.015246
Feature_88    0.015241
Feature_72    0.015236
Feature_24    0.015227
Feature_20    0.015227
Feature_62    0.013067
Feature_92    0.013062
Feature_79    0.013058
 Feature_2    0.013053
Feature_53    0.010893
Feature_96    0.008715
Feature_74    0.008710
Feature_95    0.008710
Feature_19    0.008705
Feature_83    0.008705
Feature_11    0.008705
 Feature_8    0.008705
 Feature_6    0.008705
Feature_69    0.008700
Feature_41    0.006536
Feature_15    0.006536
Feature_94    0.006536
Feature_57    0.006536
Feature_50    0.006536
Feature_37    0.006531
Feature_54    0.006531
Feature_13    0.006527
 Feature_3    0.006526
Feature_99    0.006526
 Feature_4    0.004357
Feature_14    0.004357
Feature_97    0.004357
Feature_98    0.004357
Feature_32    0.004357
Feature_85    0.004353
Feature_68    0.004353
Feature_70    0.004353
Feature_64    0.004353
 Feature_5    0.004353
Feature_67    0.004348
Feature_47    0.002179
Feature_16    0.002179
Feature_36    0.002179
Feature_55    0.002179
Feature_75    0.002179
Feature_30    0.002179
Feature_43    0.002179
Feature_60    0.002179
Feature_46    0.002179
Feature_45    0.002179
Feature_61    0.002174
Feature_12    0.002174
Feature_66    0.002174
Feature_81    0.000000
Feature_21    0.000000
Feature_18    0.000000
Feature_17    0.000000
 Feature_7    0.000000
Feature_39    0.000000
Feature_22    0.000000
Feature_86    0.000000
 Feature_9    0.000000
Feature_87    0.000000
Feature_40    0.000000
Feature_80    0.000000
Feature_42    0.000000
Feature_78    0.000000
Feature_58    0.000000
Feature_44    0.000000
Feature_48    0.000000
Feature_49    0.000000
Feature_35    0.000000
Feature_51    0.000000
Feature_52    0.000000
Feature_34    0.000000
Feature_56    0.000000
Feature_59    0.000000
Feature_23    0.000000
Feature_31    0.000000
Feature_65    0.000000
Feature_38    0.000000
Feature_29    0.000000
Feature_27    0.000000
Feature_26    0.000000
Feature_25    0.000000
Feature_76    0.000000
Feature_28    0.000000
